base_id,group,model_type,combo_id,feature_ids,output_type,feature_dim_raw,oof_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_weighted_f1,oof_minority_recall_mean,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,validation_minority_recall_mean,delta_macro_f1_vs_stage4_best,delta_minority_recall_vs_stage4_best,fold_fit_seconds_total,full_fit_seconds,full_predict_seconds,params,warnings,validation_recall_battery,validation_f1_battery,validation_recall_biological,validation_f1_biological,validation_recall_trash,validation_f1_trash
lr_c11_balanced,small,logreg,C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,proba,3165,0.5508333333,0.5323328194,0.534743494,0.5310423793,0.5497811649,0.5255730038,0.5975,0.5746735039,0.5818173408,0.5764943709,0.6002164063,0.6052173913,-0.2366429052,-0.2105515121,0.2444,0.1815,0.0027,"{""base_id"": ""lr_c11_balanced"", ""combo_id"": ""C11_full"", ""description"": ""Balanced multinomial logistic regression on C11 full."", ""group"": ""small"", ""model_type"": ""logreg"", ""output_type"": ""proba"", ""params"": {""C"": 0.8, ""class_weight"": ""balanced"", ""max_iter"": 700}}",,0.72,0.6923076923,0.6956521739,0.64,0.4,0.3870967742
knn_compact_gist_texture_shape,small,knn,gist_texture_shape,F5_gist+F2_texture+F4_shape,proba,106,0.4225,0.4374649436,0.3818506784,0.3855933412,0.4074297018,0.2964871987,0.4325,0.4665682537,0.4237011265,0.4237667584,0.4226358647,0.4873429952,-0.3893705177,-0.3284259082,0.003,0.0039,0.0027,"{""base_id"": ""knn_compact_gist_texture_shape"", ""combo_id"": ""gist_texture_shape"", ""description"": ""Distance-based local model on compact GIST+Texture+Shape."", ""group"": ""small"", ""model_type"": ""knn"", ""output_type"": ""proba"", ""params"": {""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}}",,0.32,0.4705882353,0.6086956522,0.5,0.5333333333,0.5714285714
