run_id,combo_id,combo_role,feature_ids,feature_dim,model,train_samples,validation_samples,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,minority_recall_mean,fit_seconds,predict_seconds,total_seconds,model_params,warnings,recall_battery,f1_battery,recall_biological,f1_biological,recall_cardboard,f1_cardboard,recall_clothes,f1_clothes,recall_glass,f1_glass,recall_metal,f1_metal,recall_paper,f1_paper,recall_plastic,f1_plastic,recall_shoes,f1_shoes,recall_trash,f1_trash
S3_01_F3_hog__F1_color__DecisionTree,S3_01_F3_hog__F1_color,one_step_addition,F3_hog+F1_color,2803,DecisionTree,8581,1839,0.4388254486,0.4222439451,0.4488005292,0.4287965072,0.4396107696,0.561230923,5.6978,0.007,5.7048,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": 0.6, ""min_samples_leaf"": 10}",,0.6460176991,0.5572519084,0.5523809524,0.4696356275,0.4952830189,0.5172413793,0.5915492958,0.6120218579,0.3346153846,0.3640167364,0.2571428571,0.2457337884,0.37,0.3936170213,0.3916666667,0.4224719101,0.3640552995,0.3726415094,0.4852941176,0.3333333333
S3_01_F3_hog__F1_color__RandomForest,S3_01_F3_hog__F1_color,one_step_addition,F3_hog+F1_color,2803,RandomForest,8581,1839,0.6769983687,0.6878008772,0.6645515264,0.6689152105,0.6708063912,0.7062343521,9.7025,0.0489,9.7513,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 260}",,0.7876106195,0.7772925764,0.7428571429,0.7123287671,0.7547169811,0.7390300231,0.9154929577,0.7819548872,0.6730769231,0.6756756757,0.4285714286,0.5194805195,0.65,0.6088992974,0.575,0.6,0.5299539171,0.6133333333,0.5882352941,0.6611570248
S3_01_F3_hog__F1_color__XGBoost,S3_01_F3_hog__F1_color,one_step_addition,F3_hog+F1_color,2803,XGBoost,8581,1839,0.7634584013,0.7668296537,0.7496239597,0.756556372,0.7618118716,0.7589648249,280.2948,0.0479,280.3427,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.055, ""max_depth"": 5, ""n_estimators"": 360, ""reg_lambda"": 2.0, ""subsample"": 0.85}",,0.8584070796,0.8584070796,0.7714285714,0.7826086957,0.7924528302,0.785046729,0.9401408451,0.898989899,0.7576923077,0.7504761905,0.5928571429,0.6125461255,0.705,0.698019802,0.6708333333,0.6909871245,0.7603686636,0.7551487414,0.6470588235,0.7333333333
S3_01_F3_hog__F1_color__LightGBM,S3_01_F3_hog__F1_color,one_step_addition,F3_hog+F1_color,2803,LightGBM,8581,1839,0.7737901033,0.7770314846,0.7636531895,0.7688542861,0.7725251634,0.7875916148,213.4786,0.3481,213.8267,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8672566372,0.852173913,0.819047619,0.8075117371,0.8018867925,0.8095238095,0.9225352113,0.897260274,0.7846153846,0.7771428571,0.6071428571,0.6343283582,0.695,0.6967418546,0.6791666667,0.6877637131,0.7834101382,0.7657657658,0.6764705882,0.7603305785
S3_02_F3_hog__F2_texture__LogisticRegression,S3_02_F3_hog__F2_texture,one_step_addition,F3_hog+F2_texture,1794,LogisticRegression,8581,1839,0.5676998369,0.5370923942,0.5482740567,0.5411389192,0.5681112118,0.5425654628,2.6749,0.0077,2.6826,"{""C"": 0.3, ""class_weight"": ""balanced""}",,0.6548672566,0.6090534979,0.5904761905,0.5585585586,0.5235849057,0.5427872861,0.8133802817,0.7910958904,0.5269230769,0.5447316103,0.4142857143,0.3879598662,0.505,0.5274151436,0.4958333333,0.5140388769,0.5760368664,0.5980861244,0.3823529412,0.3376623377
S3_02_F3_hog__F2_texture__KNN,S3_02_F3_hog__F2_texture,one_step_addition,F3_hog+F2_texture,1794,KNN,8581,1839,0.5894507885,0.5612348766,0.5688656087,0.5552399402,0.5855311606,0.5561203242,0.1172,5.2125,5.3297,"{""metric"": ""manhattan"", ""n_neighbors"": 9, ""weights"": ""distance""}",,0.814159292,0.6571428571,0.4571428571,0.3966942149,0.5990566038,0.6062052506,0.9049295775,0.7811550152,0.4846153846,0.561247216,0.4857142857,0.4892086331,0.52,0.5161290323,0.5375,0.5733333333,0.4884792627,0.5988700565,0.3970588235,0.3724137931
S3_02_F3_hog__F2_texture__LinearSVM_SGD,S3_02_F3_hog__F2_texture,one_step_addition,F3_hog+F2_texture,1794,LinearSVM_SGD,8581,1839,0.5557368135,0.5287182531,0.5243747893,0.5235792238,0.5546471323,0.502856895,110.4474,0.0121,110.4594,"{""alpha"": 0.0003, ""average"": true, ""class_weight"": ""balanced"", ""learning_rate"": ""optimal""}",Maximum number of iteration reached before convergence. Consider increasing max_iter to improve the fit.,0.6283185841,0.6173913043,0.5714285714,0.5429864253,0.5141509434,0.557544757,0.8485915493,0.8100840336,0.6,0.5464098074,0.3357142857,0.3102310231,0.38,0.4318181818,0.5083333333,0.4979591837,0.5483870968,0.6102564103,0.3088235294,0.3111111111
S3_02_F3_hog__F2_texture__DecisionTree,S3_02_F3_hog__F2_texture,one_step_addition,F3_hog+F2_texture,1794,DecisionTree,8581,1839,0.3980424144,0.3894411388,0.4108442068,0.3914229891,0.4006751151,0.5123612867,4.748,0.0038,4.7517,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": 0.6, ""min_samples_leaf"": 10}",,0.5132743363,0.4696356275,0.5238095238,0.4453441296,0.4198113208,0.4696569921,0.5809859155,0.6043956044,0.2576923077,0.2997762864,0.2785714286,0.2287390029,0.39,0.3732057416,0.3125,0.3496503497,0.331797235,0.345323741,0.5,0.3285024155
S3_02_F3_hog__F2_texture__RandomForest,S3_02_F3_hog__F2_texture,one_step_addition,F3_hog+F2_texture,1794,RandomForest,8581,1839,0.6220772159,0.634062175,0.6011523796,0.6036023197,0.6148512978,0.6245263297,9.9798,0.051,10.0307,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 260}",,0.7787610619,0.7394957983,0.6095238095,0.5289256198,0.5801886792,0.6259541985,0.911971831,0.7719821162,0.6230769231,0.5988909427,0.3214285714,0.4205607477,0.645,0.5633187773,0.5125,0.5761124122,0.5437788018,0.6161879896,0.4852941176,0.5945945946
S3_02_F3_hog__F2_texture__XGBoost,S3_02_F3_hog__F2_texture,one_step_addition,F3_hog+F2_texture,1794,XGBoost,8581,1839,0.7090810223,0.7103554292,0.6944890688,0.6986524287,0.7065912942,0.709239566,205.3093,0.0336,205.3429,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.055, ""max_depth"": 5, ""n_estimators"": 360, ""reg_lambda"": 2.0, ""subsample"": 0.85}",,0.8053097345,0.7844827586,0.7047619048,0.6666666667,0.7216981132,0.7216981132,0.8978873239,0.8600337268,0.7038461538,0.6666666667,0.4785714286,0.5491803279,0.7,0.6572769953,0.5916666667,0.6382022472,0.7235023041,0.7423167849,0.6176470588,0.7
