base_id,fold_index,combo_id,feature_ids,output_type,train_samples,holdout_samples,feature_dim_raw,fit_seconds,predict_seconds,holdout_macro_f1,holdout_minority_recall_mean,params,warnings
rf_lowdim_balanced,1,lowdim_color_texture_gist,F1_color+F2_texture+F5_gist,proba,6864,1717,1133,3.8778,0.2574,0.655482206,0.6290431267,"{""base_id"": ""rf_lowdim_balanced"", ""combo_id"": ""lowdim_color_texture_gist"", ""description"": ""Small random forest on low-dimensional Color+Texture+GIST."", ""group"": ""small"", ""model_type"": ""random_forest"", ""output_type"": ""proba"", ""params"": {""class_weight"": ""balanced_subsample"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 240}}",
rf_lowdim_balanced,2,lowdim_color_texture_gist,F1_color+F2_texture+F5_gist,proba,6865,1716,1133,4.5784,0.0614,0.6839985153,0.6989332421,"{""base_id"": ""rf_lowdim_balanced"", ""combo_id"": ""lowdim_color_texture_gist"", ""description"": ""Small random forest on low-dimensional Color+Texture+GIST."", ""group"": ""small"", ""model_type"": ""random_forest"", ""output_type"": ""proba"", ""params"": {""class_weight"": ""balanced_subsample"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 240}}",
rf_lowdim_balanced,3,lowdim_color_texture_gist,F1_color+F2_texture+F5_gist,proba,6865,1716,1133,4.074,0.0607,0.6497729972,0.6655400106,"{""base_id"": ""rf_lowdim_balanced"", ""combo_id"": ""lowdim_color_texture_gist"", ""description"": ""Small random forest on low-dimensional Color+Texture+GIST."", ""group"": ""small"", ""model_type"": ""random_forest"", ""output_type"": ""proba"", ""params"": {""class_weight"": ""balanced_subsample"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 240}}",
rf_lowdim_balanced,4,lowdim_color_texture_gist,F1_color+F2_texture+F5_gist,proba,6865,1716,1133,4.1672,0.06,0.6632878869,0.6709807613,"{""base_id"": ""rf_lowdim_balanced"", ""combo_id"": ""lowdim_color_texture_gist"", ""description"": ""Small random forest on low-dimensional Color+Texture+GIST."", ""group"": ""small"", ""model_type"": ""random_forest"", ""output_type"": ""proba"", ""params"": {""class_weight"": ""balanced_subsample"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 240}}",
rf_lowdim_balanced,5,lowdim_color_texture_gist,F1_color+F2_texture+F5_gist,proba,6865,1716,1133,4.0226,0.0597,0.6714229262,0.7043680704,"{""base_id"": ""rf_lowdim_balanced"", ""combo_id"": ""lowdim_color_texture_gist"", ""description"": ""Small random forest on low-dimensional Color+Texture+GIST."", ""group"": ""small"", ""model_type"": ""random_forest"", ""output_type"": ""proba"", ""params"": {""class_weight"": ""balanced_subsample"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 240}}",
knn_compact_gist_texture_shape,1,gist_texture_shape,F5_gist+F2_texture+F4_shape,proba,6864,1717,106,0.0233,0.2421,0.4992581654,0.4513621486,"{""base_id"": ""knn_compact_gist_texture_shape"", ""combo_id"": ""gist_texture_shape"", ""description"": ""Distance-based local model on compact GIST+Texture+Shape."", ""group"": ""small"", ""model_type"": ""knn"", ""output_type"": ""proba"", ""params"": {""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}}",
knn_compact_gist_texture_shape,2,gist_texture_shape,F5_gist+F2_texture+F4_shape,proba,6865,1716,106,0.0197,0.0451,0.5200880397,0.5138478872,"{""base_id"": ""knn_compact_gist_texture_shape"", ""combo_id"": ""gist_texture_shape"", ""description"": ""Distance-based local model on compact GIST+Texture+Shape."", ""group"": ""small"", ""model_type"": ""knn"", ""output_type"": ""proba"", ""params"": {""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}}",
knn_compact_gist_texture_shape,3,gist_texture_shape,F5_gist+F2_texture+F4_shape,proba,6865,1716,106,0.0166,0.0415,0.502515472,0.4908084827,"{""base_id"": ""knn_compact_gist_texture_shape"", ""combo_id"": ""gist_texture_shape"", ""description"": ""Distance-based local model on compact GIST+Texture+Shape."", ""group"": ""small"", ""model_type"": ""knn"", ""output_type"": ""proba"", ""params"": {""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}}",
knn_compact_gist_texture_shape,4,gist_texture_shape,F5_gist+F2_texture+F4_shape,proba,6865,1716,106,0.0222,0.0397,0.5162640881,0.5142400776,"{""base_id"": ""knn_compact_gist_texture_shape"", ""combo_id"": ""gist_texture_shape"", ""description"": ""Distance-based local model on compact GIST+Texture+Shape."", ""group"": ""small"", ""model_type"": ""knn"", ""output_type"": ""proba"", ""params"": {""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}}",
knn_compact_gist_texture_shape,5,gist_texture_shape,F5_gist+F2_texture+F4_shape,proba,6865,1716,106,0.0166,0.0462,0.5460779489,0.5621241409,"{""base_id"": ""knn_compact_gist_texture_shape"", ""combo_id"": ""gist_texture_shape"", ""description"": ""Distance-based local model on compact GIST+Texture+Shape."", ""group"": ""small"", ""model_type"": ""knn"", ""output_type"": ""proba"", ""params"": {""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}}",
lgbm_small_hct_sqrt,1,hog_color_texture,F3_hog+F1_color+F2_texture,proba,6864,1717,2833,152.4019,0.4209,0.7401251394,0.6987008247,"{""base_id"": ""lgbm_small_hct_sqrt"", ""combo_id"": ""hog_color_texture"", ""description"": ""Compact LightGBM on HOG+Color+Texture with sqrt-balanced weights."", ""group"": ""small"", ""model_type"": ""lightgbm"", ""output_type"": ""proba"", ""params"": {""colsample_bytree"": 0.75, ""learning_rate"": 0.06, ""n_estimators"": 220, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}, ""sample_weight_mode"": ""sqrt_balanced""}",
lgbm_small_hct_sqrt,2,hog_color_texture,F3_hog+F1_color+F2_texture,proba,6865,1716,2833,137.4341,0.3294,0.7597291272,0.7099858811,"{""base_id"": ""lgbm_small_hct_sqrt"", ""combo_id"": ""hog_color_texture"", ""description"": ""Compact LightGBM on HOG+Color+Texture with sqrt-balanced weights."", ""group"": ""small"", ""model_type"": ""lightgbm"", ""output_type"": ""proba"", ""params"": {""colsample_bytree"": 0.75, ""learning_rate"": 0.06, ""n_estimators"": 220, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}, ""sample_weight_mode"": ""sqrt_balanced""}",
lgbm_small_hct_sqrt,3,hog_color_texture,F3_hog+F1_color+F2_texture,proba,6865,1716,2833,106.1138,0.1487,0.7234936274,0.6963947004,"{""base_id"": ""lgbm_small_hct_sqrt"", ""combo_id"": ""hog_color_texture"", ""description"": ""Compact LightGBM on HOG+Color+Texture with sqrt-balanced weights."", ""group"": ""small"", ""model_type"": ""lightgbm"", ""output_type"": ""proba"", ""params"": {""colsample_bytree"": 0.75, ""learning_rate"": 0.06, ""n_estimators"": 220, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}, ""sample_weight_mode"": ""sqrt_balanced""}",
lgbm_small_hct_sqrt,4,hog_color_texture,F3_hog+F1_color+F2_texture,proba,6865,1716,2833,109.2059,0.1982,0.7576441657,0.7492904919,"{""base_id"": ""lgbm_small_hct_sqrt"", ""combo_id"": ""hog_color_texture"", ""description"": ""Compact LightGBM on HOG+Color+Texture with sqrt-balanced weights."", ""group"": ""small"", ""model_type"": ""lightgbm"", ""output_type"": ""proba"", ""params"": {""colsample_bytree"": 0.75, ""learning_rate"": 0.06, ""n_estimators"": 220, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}, ""sample_weight_mode"": ""sqrt_balanced""}",
lgbm_small_hct_sqrt,5,hog_color_texture,F3_hog+F1_color+F2_texture,proba,6865,1716,2833,100.1931,0.1597,0.7462400303,0.7150765091,"{""base_id"": ""lgbm_small_hct_sqrt"", ""combo_id"": ""hog_color_texture"", ""description"": ""Compact LightGBM on HOG+Color+Texture with sqrt-balanced weights."", ""group"": ""small"", ""model_type"": ""lightgbm"", ""output_type"": ""proba"", ""params"": {""colsample_bytree"": 0.75, ""learning_rate"": 0.06, ""n_estimators"": 220, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}, ""sample_weight_mode"": ""sqrt_balanced""}",
lgbm_anchor_c11_sqrt,1,C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,proba,6864,1717,3165,190.3964,0.2708,0.7616350807,0.714937508,"{""base_id"": ""lgbm_anchor_c11_sqrt"", ""combo_id"": ""C11_full"", ""description"": ""Current Stage 4 best LightGBM C11 sqrt-balanced anchor."", ""group"": ""anchor"", ""model_type"": ""lightgbm"", ""output_type"": ""proba"", ""params"": {""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}, ""sample_weight_mode"": ""sqrt_balanced""}",
lgbm_anchor_c11_sqrt,2,C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,proba,6865,1716,3165,194.7297,0.3823,0.7854081977,0.7573339608,"{""base_id"": ""lgbm_anchor_c11_sqrt"", ""combo_id"": ""C11_full"", ""description"": ""Current Stage 4 best LightGBM C11 sqrt-balanced anchor."", ""group"": ""anchor"", ""model_type"": ""lightgbm"", ""output_type"": ""proba"", ""params"": {""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}, ""sample_weight_mode"": ""sqrt_balanced""}",
lgbm_anchor_c11_sqrt,3,C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,proba,6865,1716,3165,214.2317,0.2995,0.7489328172,0.7024273022,"{""base_id"": ""lgbm_anchor_c11_sqrt"", ""combo_id"": ""C11_full"", ""description"": ""Current Stage 4 best LightGBM C11 sqrt-balanced anchor."", ""group"": ""anchor"", ""model_type"": ""lightgbm"", ""output_type"": ""proba"", ""params"": {""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}, ""sample_weight_mode"": ""sqrt_balanced""}",
lgbm_anchor_c11_sqrt,4,C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,proba,6865,1716,3165,222.162,0.3926,0.7836223619,0.7788901724,"{""base_id"": ""lgbm_anchor_c11_sqrt"", ""combo_id"": ""C11_full"", ""description"": ""Current Stage 4 best LightGBM C11 sqrt-balanced anchor."", ""group"": ""anchor"", ""model_type"": ""lightgbm"", ""output_type"": ""proba"", ""params"": {""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}, ""sample_weight_mode"": ""sqrt_balanced""}",
lgbm_anchor_c11_sqrt,5,C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,proba,6865,1716,3165,206.9885,0.3569,0.7735389065,0.7401263535,"{""base_id"": ""lgbm_anchor_c11_sqrt"", ""combo_id"": ""C11_full"", ""description"": ""Current Stage 4 best LightGBM C11 sqrt-balanced anchor."", ""group"": ""anchor"", ""model_type"": ""lightgbm"", ""output_type"": ""proba"", ""params"": {""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}, ""sample_weight_mode"": ""sqrt_balanced""}",
