model_id,split,true_label,predicted_label,count
sgd_svm_hct_balanced,test,cardboard,plastic,27
sgd_svm_hct_balanced,test,cardboard,shoes,5
sgd_svm_hct_balanced,test,cardboard,trash,1
sgd_svm_hct_balanced,test,clothes,battery,1
sgd_svm_hct_balanced,test,clothes,biological,5
sgd_svm_hct_balanced,test,clothes,cardboard,3
sgd_svm_hct_balanced,test,clothes,clothes,224
sgd_svm_hct_balanced,test,clothes,glass,4
sgd_svm_hct_balanced,test,clothes,metal,3
sgd_svm_hct_balanced,test,clothes,paper,18
sgd_svm_hct_balanced,test,clothes,plastic,20
sgd_svm_hct_balanced,test,clothes,shoes,5
sgd_svm_hct_balanced,test,clothes,trash,1
sgd_svm_hct_balanced,test,glass,battery,3
sgd_svm_hct_balanced,test,glass,biological,2
sgd_svm_hct_balanced,test,glass,cardboard,17
sgd_svm_hct_balanced,test,glass,clothes,2
sgd_svm_hct_balanced,test,glass,glass,169
sgd_svm_hct_balanced,test,glass,metal,13
sgd_svm_hct_balanced,test,glass,paper,13
sgd_svm_hct_balanced,test,glass,plastic,28
sgd_svm_hct_balanced,test,glass,shoes,10
sgd_svm_hct_balanced,test,glass,trash,3
sgd_svm_hct_balanced,test,metal,battery,8
sgd_svm_hct_balanced,test,metal,biological,2
sgd_svm_hct_balanced,test,metal,cardboard,5
sgd_svm_hct_balanced,test,metal,clothes,3
sgd_svm_hct_balanced,test,metal,glass,21
sgd_svm_hct_balanced,test,metal,metal,66
sgd_svm_hct_balanced,test,metal,paper,16
sgd_svm_hct_balanced,test,metal,plastic,11
sgd_svm_hct_balanced,test,metal,shoes,4
sgd_svm_hct_balanced,test,metal,trash,4
sgd_svm_hct_balanced,test,paper,battery,1
sgd_svm_hct_balanced,test,paper,biological,7
sgd_svm_hct_balanced,test,paper,cardboard,7
sgd_svm_hct_balanced,test,paper,clothes,7
sgd_svm_hct_balanced,test,paper,glass,11
sgd_svm_hct_balanced,test,paper,metal,5
sgd_svm_hct_balanced,test,paper,paper,127
sgd_svm_hct_balanced,test,paper,plastic,20
sgd_svm_hct_balanced,test,paper,shoes,8
sgd_svm_hct_balanced,test,paper,trash,7
sgd_svm_hct_balanced,test,plastic,battery,4
sgd_svm_hct_balanced,test,plastic,biological,1
sgd_svm_hct_balanced,test,plastic,cardboard,11
sgd_svm_hct_balanced,test,plastic,clothes,13
sgd_svm_hct_balanced,test,plastic,glass,27
sgd_svm_hct_balanced,test,plastic,metal,15
sgd_svm_hct_balanced,test,plastic,paper,11
sgd_svm_hct_balanced,test,plastic,plastic,146
sgd_svm_hct_balanced,test,plastic,shoes,1
sgd_svm_hct_balanced,test,plastic,trash,11
sgd_svm_hct_balanced,test,shoes,battery,8
sgd_svm_hct_balanced,test,shoes,biological,13
sgd_svm_hct_balanced,test,shoes,cardboard,3
sgd_svm_hct_balanced,test,shoes,clothes,10
sgd_svm_hct_balanced,test,shoes,glass,13
sgd_svm_hct_balanced,test,shoes,metal,11
sgd_svm_hct_balanced,test,shoes,paper,10
sgd_svm_hct_balanced,test,shoes,plastic,18
sgd_svm_hct_balanced,test,shoes,shoes,126
sgd_svm_hct_balanced,test,shoes,trash,5
sgd_svm_hct_balanced,test,trash,battery,4
sgd_svm_hct_balanced,test,trash,biological,0
sgd_svm_hct_balanced,test,trash,cardboard,2
sgd_svm_hct_balanced,test,trash,clothes,4
sgd_svm_hct_balanced,test,trash,glass,8
sgd_svm_hct_balanced,test,trash,metal,6
sgd_svm_hct_balanced,test,trash,paper,8
sgd_svm_hct_balanced,test,trash,plastic,7
sgd_svm_hct_balanced,test,trash,shoes,4
sgd_svm_hct_balanced,test,trash,trash,25
rf_lowdim_balanced,test,battery,battery,84
rf_lowdim_balanced,test,battery,biological,2
rf_lowdim_balanced,test,battery,cardboard,3
rf_lowdim_balanced,test,battery,clothes,2
rf_lowdim_balanced,test,battery,glass,6
rf_lowdim_balanced,test,battery,metal,1
rf_lowdim_balanced,test,battery,paper,5
rf_lowdim_balanced,test,battery,plastic,3
rf_lowdim_balanced,test,battery,shoes,7
rf_lowdim_balanced,test,battery,trash,0
rf_lowdim_balanced,test,biological,battery,0
rf_lowdim_balanced,test,biological,biological,74
rf_lowdim_balanced,test,biological,cardboard,3
rf_lowdim_balanced,test,biological,clothes,6
rf_lowdim_balanced,test,biological,glass,4
rf_lowdim_balanced,test,biological,metal,0
rf_lowdim_balanced,test,biological,paper,7
rf_lowdim_balanced,test,biological,plastic,1
rf_lowdim_balanced,test,biological,shoes,8
rf_lowdim_balanced,test,biological,trash,2
rf_lowdim_balanced,test,cardboard,battery,0
rf_lowdim_balanced,test,cardboard,biological,12
rf_lowdim_balanced,test,cardboard,cardboard,165
rf_lowdim_balanced,test,cardboard,clothes,9
rf_lowdim_balanced,test,cardboard,glass,3
rf_lowdim_balanced,test,cardboard,metal,1
rf_lowdim_balanced,test,cardboard,paper,5
rf_lowdim_balanced,test,cardboard,plastic,12
rf_lowdim_balanced,test,cardboard,shoes,5
rf_lowdim_balanced,test,cardboard,trash,0
rf_lowdim_balanced,test,clothes,battery,0
rf_lowdim_balanced,test,clothes,biological,2
rf_lowdim_balanced,test,clothes,cardboard,3
rf_lowdim_balanced,test,clothes,clothes,254
rf_lowdim_balanced,test,clothes,glass,1
rf_lowdim_balanced,test,clothes,metal,2
rf_lowdim_balanced,test,clothes,paper,6
rf_lowdim_balanced,test,clothes,plastic,4
rf_lowdim_balanced,test,clothes,shoes,12
rf_lowdim_balanced,test,clothes,trash,0
rf_lowdim_balanced,test,glass,battery,3
rf_lowdim_balanced,test,glass,biological,6
rf_lowdim_balanced,test,glass,cardboard,4
rf_lowdim_balanced,test,glass,clothes,16
rf_lowdim_balanced,test,glass,glass,188
rf_lowdim_balanced,test,glass,metal,2
rf_lowdim_balanced,test,glass,paper,12
rf_lowdim_balanced,test,glass,plastic,13
rf_lowdim_balanced,test,glass,shoes,15
rf_lowdim_balanced,test,glass,trash,1
rf_lowdim_balanced,test,metal,battery,7
rf_lowdim_balanced,test,metal,biological,4
rf_lowdim_balanced,test,metal,cardboard,11
rf_lowdim_balanced,test,metal,clothes,5
rf_lowdim_balanced,test,metal,glass,12
rf_lowdim_balanced,test,metal,metal,81
rf_lowdim_balanced,test,metal,paper,7
rf_lowdim_balanced,test,metal,plastic,5
rf_lowdim_balanced,test,metal,shoes,7
rf_lowdim_balanced,test,metal,trash,1
rf_lowdim_balanced,test,paper,battery,2
rf_lowdim_balanced,test,paper,biological,5
rf_lowdim_balanced,test,paper,cardboard,13
rf_lowdim_balanced,test,paper,clothes,21
rf_lowdim_balanced,test,paper,glass,9
rf_lowdim_balanced,test,paper,metal,3
rf_lowdim_balanced,test,paper,paper,128
rf_lowdim_balanced,test,paper,plastic,5
rf_lowdim_balanced,test,paper,shoes,14
rf_lowdim_balanced,test,paper,trash,0
rf_lowdim_balanced,test,plastic,battery,5
