model_id,split,class_name,support,precision,recall,f1
final_stack_small_plus_lgbm_anchor,test,paper,200,0.8078817734,0.82,0.8138957816
final_stack_small_plus_lgbm_anchor,test,plastic,240,0.768558952,0.7333333333,0.750533049
final_stack_small_plus_lgbm_anchor,test,shoes,217,0.8214285714,0.8479262673,0.8344671202
final_stack_small_plus_lgbm_anchor,test,trash,68,0.8541666667,0.6029411765,0.7068965517
final_stack_small_only,test,battery,113,0.7586206897,0.7787610619,0.768558952
final_stack_small_only,test,biological,105,0.8137254902,0.7904761905,0.8019323671
final_stack_small_only,test,cardboard,212,0.8634146341,0.8349056604,0.8489208633
final_stack_small_only,test,clothes,284,0.9016949153,0.9366197183,0.9188255613
final_stack_small_only,test,glass,260,0.8503937008,0.8307692308,0.8404669261
final_stack_small_only,test,metal,140,0.7302631579,0.7928571429,0.7602739726
final_stack_small_only,test,paper,200,0.8368421053,0.795,0.8153846154
final_stack_small_only,test,plastic,240,0.7426160338,0.7333333333,0.7379454927
final_stack_small_only,test,shoes,217,0.7835497835,0.8341013825,0.8080357143
final_stack_small_only,test,trash,68,0.8070175439,0.6764705882,0.736
final_avg_small_plus_lgbm_anchor_proba,test,battery,113,0.8256880734,0.796460177,0.8108108108
final_avg_small_plus_lgbm_anchor_proba,test,biological,105,0.8113207547,0.819047619,0.8151658768
final_avg_small_plus_lgbm_anchor_proba,test,cardboard,212,0.8634146341,0.8349056604,0.8489208633
final_avg_small_plus_lgbm_anchor_proba,test,clothes,284,0.8741935484,0.9542253521,0.9124579125
final_avg_small_plus_lgbm_anchor_proba,test,glass,260,0.8262548263,0.8230769231,0.8246628131
final_avg_small_plus_lgbm_anchor_proba,test,metal,140,0.7822580645,0.6928571429,0.7348484848
final_avg_small_plus_lgbm_anchor_proba,test,paper,200,0.8118811881,0.82,0.815920398
final_avg_small_plus_lgbm_anchor_proba,test,plastic,240,0.7366255144,0.7458333333,0.7412008282
final_avg_small_plus_lgbm_anchor_proba,test,shoes,217,0.7956521739,0.8433179724,0.8187919463
final_avg_small_plus_lgbm_anchor_proba,test,trash,68,0.8235294118,0.6176470588,0.7058823529
final_avg_small_proba,test,battery,113,0.8113207547,0.7610619469,0.7853881279
final_avg_small_proba,test,biological,105,0.7727272727,0.8095238095,0.7906976744
final_avg_small_proba,test,cardboard,212,0.8357487923,0.8160377358,0.8257756563
final_avg_small_proba,test,clothes,284,0.8476190476,0.9401408451,0.8914858097
final_avg_small_proba,test,glass,260,0.7900763359,0.7961538462,0.7931034483
final_avg_small_proba,test,metal,140,0.7398373984,0.65,0.6920152091
final_avg_small_proba,test,paper,200,0.7794117647,0.795,0.7871287129
final_avg_small_proba,test,plastic,240,0.7160493827,0.725,0.7204968944
final_avg_small_proba,test,shoes,217,0.779342723,0.7649769585,0.7720930233
final_avg_small_proba,test,trash,68,0.6964285714,0.5735294118,0.6290322581
