candidate_id,source_short,model_label,split,label,precision,recall,f1_score,support
mboli_ogungbemi_2026_rgb_pca_random_forest,Mboli & Ogungbemi 2026,PCA_RandomForest,validation,paper,0.4891304347826087,0.45,0.46875,200
mboli_ogungbemi_2026_rgb_pca_random_forest,Mboli & Ogungbemi 2026,PCA_RandomForest,validation,plastic,0.4659090909090909,0.5125,0.4880952380952381,240
mboli_ogungbemi_2026_rgb_pca_random_forest,Mboli & Ogungbemi 2026,PCA_RandomForest,validation,shoes,0.5511363636363636,0.4470046082949309,0.49363867684478374,217
mboli_ogungbemi_2026_rgb_pca_random_forest,Mboli & Ogungbemi 2026,PCA_RandomForest,validation,trash,0.5675675675675675,0.3088235294117647,0.4,68
mboli_ogungbemi_2026_rgb_pca_rbf_svm,Mboli & Ogungbemi 2026,PCA_RBF_SVM,validation,battery,0.6752136752136753,0.6991150442477876,0.6869565217391305,113
mboli_ogungbemi_2026_rgb_pca_rbf_svm,Mboli & Ogungbemi 2026,PCA_RBF_SVM,validation,biological,0.5107913669064749,0.6761904761904762,0.5819672131147541,105
mboli_ogungbemi_2026_rgb_pca_rbf_svm,Mboli & Ogungbemi 2026,PCA_RBF_SVM,validation,cardboard,0.6424581005586593,0.5424528301886793,0.5882352941176471,212
mboli_ogungbemi_2026_rgb_pca_rbf_svm,Mboli & Ogungbemi 2026,PCA_RBF_SVM,validation,clothes,0.7770034843205574,0.7852112676056338,0.7810858143607706,284
mboli_ogungbemi_2026_rgb_pca_rbf_svm,Mboli & Ogungbemi 2026,PCA_RBF_SVM,validation,glass,0.6460674157303371,0.4423076923076923,0.5251141552511416,260
mboli_ogungbemi_2026_rgb_pca_rbf_svm,Mboli & Ogungbemi 2026,PCA_RBF_SVM,validation,metal,0.40384615384615385,0.45,0.42567567567567566,140
mboli_ogungbemi_2026_rgb_pca_rbf_svm,Mboli & Ogungbemi 2026,PCA_RBF_SVM,validation,paper,0.49029126213592233,0.505,0.4975369458128079,200
mboli_ogungbemi_2026_rgb_pca_rbf_svm,Mboli & Ogungbemi 2026,PCA_RBF_SVM,validation,plastic,0.5121951219512195,0.525,0.5185185185185185,240
mboli_ogungbemi_2026_rgb_pca_rbf_svm,Mboli & Ogungbemi 2026,PCA_RBF_SVM,validation,shoes,0.5340909090909091,0.43317972350230416,0.47837150127226463,217
mboli_ogungbemi_2026_rgb_pca_rbf_svm,Mboli & Ogungbemi 2026,PCA_RBF_SVM,validation,trash,0.33548387096774196,0.7647058823529411,0.4663677130044843,68
sen_2025_hog_lbp_linear_svm_reference,Sen et al. 2025,HOG_Texture_LinearSVM_SGD,validation,battery,0.625,0.5752212389380531,0.5990783410138248,113
sen_2025_hog_lbp_linear_svm_reference,Sen et al. 2025,HOG_Texture_LinearSVM_SGD,validation,biological,0.5327102803738317,0.5428571428571428,0.5377358490566038,105
sen_2025_hog_lbp_linear_svm_reference,Sen et al. 2025,HOG_Texture_LinearSVM_SGD,validation,cardboard,0.5562130177514792,0.44339622641509435,0.49343832020997375,212
sen_2025_hog_lbp_linear_svm_reference,Sen et al. 2025,HOG_Texture_LinearSVM_SGD,validation,clothes,0.8117647058823529,0.7288732394366197,0.7680890538033395,284
sen_2025_hog_lbp_linear_svm_reference,Sen et al. 2025,HOG_Texture_LinearSVM_SGD,validation,glass,0.3238095238095238,0.6538461538461539,0.43312101910828027,260
sen_2025_hog_lbp_linear_svm_reference,Sen et al. 2025,HOG_Texture_LinearSVM_SGD,validation,metal,0.3493975903614458,0.20714285714285716,0.2600896860986547,140
sen_2025_hog_lbp_linear_svm_reference,Sen et al. 2025,HOG_Texture_LinearSVM_SGD,validation,paper,0.5614035087719298,0.32,0.40764331210191085,200
sen_2025_hog_lbp_linear_svm_reference,Sen et al. 2025,HOG_Texture_LinearSVM_SGD,validation,plastic,0.43252595155709345,0.5208333333333334,0.4725897920604915,240
sen_2025_hog_lbp_linear_svm_reference,Sen et al. 2025,HOG_Texture_LinearSVM_SGD,validation,shoes,0.7593984962406015,0.46543778801843316,0.5771428571428572,217
sen_2025_hog_lbp_linear_svm_reference,Sen et al. 2025,HOG_Texture_LinearSVM_SGD,validation,trash,0.31666666666666665,0.27941176470588236,0.296875,68
