candidate_id,model,combo_label,feature_ids,feature_dim,stage3_macro_f1,stage3_minority_recall_mean,best_inner_macro_f1,best_inner_minority_recall_mean,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,minority_recall_mean,macro_f1_delta_vs_stage3,minority_recall_delta_vs_stage3,fit_seconds,predict_seconds,total_seconds,best_iteration,sample_weight_mode,best_params,warnings,recall_battery,f1_battery,recall_biological,f1_biological,recall_trash,f1_trash
LGBM_A_C11_full,LightGBM,A_C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,3147,0.8096497497,0.8157689034,0.7500661092,0.7186584404,0.8096791735,0.8087787026,0.8002906781,0.8036491849,0.8081702655,0.8272448212,-0.0060005648,0.0114759178,217.1476,0.176,217.3235,460,balanced,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_samples"": 80, ""n_estimators"": 460, ""num_leaves"": 95, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""sample_weight_mode"": ""balanced"", ""subsample"": 1.0}",,0.8849557522,0.8849557522,0.8761904762,0.8479262673,0.7205882353,0.7716535433
XGB_A_C11_full,XGBoost,A_C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,3147,0.7973916286,0.8079170901,0.7430292328,0.6830544287,0.803153888,0.8186074546,0.7872349235,0.7996403303,0.8019376495,0.7795150509,0.0022487017,-0.0284020392,335.3282,0.0486,335.3768,360,,"{""colsample_bytree"": 0.75, ""gamma"": 0.0, ""learning_rate"": 0.055, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 360, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""sample_weight_mode"": null, ""subsample"": 0.85}",,0.8672566372,0.8828828829,0.8095238095,0.8292682927,0.6617647059,0.7692307692
