candidate_id,source_short,model_label,split,true_label,predicted_label,count
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,metal,metal,26
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,metal,paper,8
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,metal,plastic,21
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,metal,shoes,19
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,metal,trash,3
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,paper,battery,13
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,paper,biological,2
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,paper,cardboard,27
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,paper,clothes,27
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,paper,glass,15
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,paper,metal,5
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,paper,paper,90
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,paper,plastic,13
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,paper,shoes,5
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,paper,trash,3
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,plastic,battery,6
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,plastic,biological,6
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,plastic,cardboard,24
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,plastic,clothes,24
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,plastic,glass,38
yang_thung_2016_sift_bof_rbf_svm,Yang & Thung 2016,RBF_SVM,validation,plastic,metal,19
