run_id,combo_id,combo_role,feature_ids,feature_dim,model,train_samples,validation_samples,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,minority_recall_mean,fit_seconds,predict_seconds,total_seconds,model_params,warnings,recall_battery,f1_battery,recall_biological,f1_biological,recall_cardboard,f1_cardboard,recall_clothes,f1_clothes,recall_glass,f1_glass,recall_metal,f1_metal,recall_paper,f1_paper,recall_plastic,f1_plastic,recall_shoes,f1_shoes,recall_trash,f1_trash
S3_13_C11_reference_full_handcrafted__LightGBM,S3_13_C11_reference_full_handcrafted,reference_combo,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,3165,LightGBM,8581,1839,0.8156606852,0.8177850411,0.8039793801,0.8096497497,0.8144865078,0.8157689034,193.9678,0.2545,194.2223,"{""class_weight"": null, ""colsample_bytree"": 0.75, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 460, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",,0.8938053097,0.8938053097,0.8476190476,0.8279069767,0.8254716981,0.8353221957,0.9436619718,0.9069373942,0.8230769231,0.8106060606,0.65,0.6893939394,0.78,0.7938931298,0.75,0.7422680412,0.8202764977,0.8221709007,0.7058823529,0.7741935484
S3_09_F3_hog__F1_color__F2_texture__F5_gist__F6_bof__XGBoost,S3_09_F3_hog__F1_color__F2_texture__F5_gist__F6_bof,adaptive_candidate,F3_hog+F1_color+F2_texture+F5_gist+F6_bof,3153,XGBoost,8581,1839,0.8020663404,0.8052900505,0.7930698957,0.7980302997,0.8008508448,0.8140415458,230.0569,0.0411,230.0979,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.055, ""max_depth"": 5, ""n_estimators"": 360, ""reg_lambda"": 2.0, ""subsample"": 0.85}",,0.8938053097,0.8938053097,0.8571428571,0.8372093023,0.8301886792,0.8301886792,0.9366197183,0.9032258065,0.7846153846,0.7786259542,0.6428571429,0.6691449814,0.785,0.783042394,0.7166666667,0.7226890756,0.7926267281,0.7981438515,0.6911764706,0.7642276423
S3_11_F1_color__F2_texture__F5_gist__RandomForest,S3_11_F1_color__F2_texture__F5_gist,reference_combo,F1_color+F2_texture+F5_gist,1133,RandomForest,8581,1839,0.7058183796,0.7151148926,0.7018660742,0.7049076635,0.7022947872,0.7603686902,2.043,0.028,2.0711,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 260}",,0.814159292,0.8070175439,0.7904761905,0.7410714286,0.7735849057,0.7645687646,0.8943661972,0.7767584098,0.6769230769,0.7139959432,0.5142857143,0.5829959514,0.635,0.6479591837,0.6166666667,0.6338329764,0.6267281106,0.6507177033,0.6764705882,0.7301587302
S3_13_C11_reference_full_handcrafted__LinearSVM_SGD,S3_13_C11_reference_full_handcrafted,reference_combo,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,3165,LinearSVM_SGD,8581,1839,0.7074497009,0.6876048041,0.6915915888,0.6884566834,0.7067783865,0.7008275287,147.5502,0.0475,147.5977,"{""alpha"": 0.0003, ""average"": true, ""class_weight"": ""balanced"", ""learning_rate"": ""optimal""}",Maximum number of iteration reached before convergence. Consider increasing max_iter to improve the fit.,0.796460177,0.796460177,0.7619047619,0.7373271889,0.7169811321,0.7469287469,0.9014084507,0.8519134775,0.6884615385,0.6911196911,0.5285714286,0.5461254613,0.635,0.6414141414,0.6333333333,0.6359832636,0.7096774194,0.7439613527,0.5441176471,0.4933333333
S3_09_F3_hog__F1_color__F2_texture__F5_gist__F6_bof__LogisticRegression,S3_09_F3_hog__F1_color__F2_texture__F5_gist__F6_bof,adaptive_candidate,F3_hog+F1_color+F2_texture+F5_gist+F6_bof,3153,LogisticRegression,8581,1839,0.6840674279,0.6631329405,0.6774424459,0.668766844,0.6855956519,0.7118105649,2.5174,0.0138,2.5312,"{""C"": 0.3, ""class_weight"": ""balanced""}",,0.7610619469,0.7445887446,0.7714285714,0.7264573991,0.7028301887,0.7268292683,0.8556338028,0.8647686833,0.6192307692,0.6338582677,0.5214285714,0.4982935154,0.655,0.645320197,0.6166666667,0.629787234,0.668202765,0.692124105,0.6029411765,0.5256410256
S3_03_F3_hog__F5_gist__KNN,S3_03_F3_hog__F5_gist,one_step_addition,F3_hog+F5_gist,1828,KNN,8581,1839,0.6106579663,0.5863981908,0.5856607923,0.5787150579,0.6060177179,0.5739020682,0.1259,5.0002,5.1261,"{""metric"": ""manhattan"", ""n_neighbors"": 9, ""weights"": ""distance""}",,0.7610619469,0.6666666667,0.5047619048,0.4173228346,0.6556603774,0.6525821596,0.9401408451,0.8066465257,0.5269230769,0.5696465696,0.3928571429,0.431372549,0.515,0.5378590078,0.5375,0.5596529284,0.5668202765,0.6684782609,0.4558823529,0.4769230769
S3_12_C10_reference_no_bof__DecisionTree,S3_12_C10_reference_no_bof,reference_combo,F1_color+F2_texture+F4_shape+F5_gist+F3_hog,2909,DecisionTree,8581,1839,0.4703643284,0.4673868955,0.4864561346,0.4705471924,0.4736031062,0.5864269602,6.2036,0.0084,6.212,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": 0.6, ""min_samples_leaf"": 10}",,0.5840707965,0.5454545455,0.5428571429,0.5229357798,0.5188679245,0.5583756345,0.6408450704,0.6666666667,0.3269230769,0.3519668737,0.3857142857,0.2975206612,0.475,0.4871794872,0.3708333333,0.4073226545,0.3870967742,0.3981042654,0.6323529412,0.4699453552
