base_id,fold_index,combo_id,feature_ids,output_type,train_samples,holdout_samples,feature_dim_raw,fit_seconds,predict_seconds,holdout_macro_f1,holdout_minority_recall_mean,params,warnings
lr_c11_balanced,1,C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,proba,600,600,3165,0.1406,0.0048,0.5311065366,0.5090792091,"{""base_id"": ""lr_c11_balanced"", ""combo_id"": ""C11_full"", ""description"": ""Balanced multinomial logistic regression on C11 full."", ""group"": ""small"", ""model_type"": ""logreg"", ""output_type"": ""proba"", ""params"": {""C"": 0.8, ""class_weight"": ""balanced"", ""max_iter"": 700}}",
lr_c11_balanced,2,C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,proba,600,600,3165,0.1038,0.0034,0.5305739487,0.5427325721,"{""base_id"": ""lr_c11_balanced"", ""combo_id"": ""C11_full"", ""description"": ""Balanced multinomial logistic regression on C11 full."", ""group"": ""small"", ""model_type"": ""logreg"", ""output_type"": ""proba"", ""params"": {""C"": 0.8, ""class_weight"": ""balanced"", ""max_iter"": 700}}",
knn_compact_gist_texture_shape,1,gist_texture_shape,F5_gist+F2_texture+F4_shape,proba,600,600,106,0.0013,0.0266,0.3677434015,0.2682578683,"{""base_id"": ""knn_compact_gist_texture_shape"", ""combo_id"": ""gist_texture_shape"", ""description"": ""Distance-based local model on compact GIST+Texture+Shape."", ""group"": ""small"", ""model_type"": ""knn"", ""output_type"": ""proba"", ""params"": {""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}}",
knn_compact_gist_texture_shape,2,gist_texture_shape,F5_gist+F2_texture+F4_shape,proba,600,600,106,0.0017,0.0022,0.4036777728,0.3251915017,"{""base_id"": ""knn_compact_gist_texture_shape"", ""combo_id"": ""gist_texture_shape"", ""description"": ""Distance-based local model on compact GIST+Texture+Shape."", ""group"": ""small"", ""model_type"": ""knn"", ""output_type"": ""proba"", ""params"": {""n_neighbors"": 11, ""p"": 2, ""weights"": ""distance""}}",
