run_id,experiment_type,combo_id,feature_ids,feature_dim_raw,feature_dim_after_variance,sample_weight_mode,stage3_macro_f1,stage3_minority_recall_mean,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,minority_recall_mean,delta_macro_f1_vs_C11_none,delta_minority_recall_vs_C11_none,delta_macro_f1_vs_stage3,delta_minority_recall_vs_stage3,fit_seconds,predict_seconds,total_seconds,params,warnings,recall_battery,f1_battery,recall_biological,f1_biological,recall_trash,f1_trash
AB_C11_full_balanced,ablation,C11_full,F1_color+F2_texture+F4_shape+F5_gist+F3_hog+F6_bof,3165,3147,balanced,0.8096497497,0.8157689034,0.8156606852,0.8177850411,0.8039793801,0.8096497497,0.8144865078,0.8157689034,0.0,0.0,-0.0,0.0,229.1366,0.3307,229.4672,"{""colsample_bytree"": 0.75, ""force_col_wise"": true, ""learning_rate"": 0.05, ""n_estimators"": 460, ""n_jobs"": -1, ""num_class"": 10, ""num_leaves"": 31, ""objective"": ""multiclass"", ""random_state"": 42, ""reg_lambda"": 1.0, ""subsample"": 0.85, ""verbose"": -1}","X does not have valid feature names, but LGBMClassifier was fitted with feature names",0.8938053097,0.8938053097,0.8476190476,0.8279069767,0.7058823529,0.7741935484
AB_no_shape_balanced,ablation,no_shape,F3_hog+F1_color+F2_texture+F5_gist+F6_bof,3153,3135,balanced,0.8071305522,0.8108669426,0.81348559,0.8156796662,0.8010813641,0.8071305522,0.8124200537,0.8108669426,-0.0025191975,-0.0049019608,0.0,0.0,217.1703,0.3079,217.4781,"{""colsample_bytree"": 0.75, ""force_col_wise"": true, ""learning_rate"": 0.05, ""n_estimators"": 460, ""n_jobs"": -1, ""num_class"": 10, ""num_leaves"": 31, ""objective"": ""multiclass"", ""random_state"": 42, ""reg_lambda"": 1.0, ""subsample"": 0.85, ""verbose"": -1}","X does not have valid feature names, but LGBMClassifier was fitted with feature names",0.8938053097,0.8938053097,0.8476190476,0.8356807512,0.6911764706,0.7580645161
AB_no_gist_balanced,ablation,no_gist,F1_color+F2_texture+F4_shape+F3_hog+F6_bof,3101,3083,balanced,,,0.810766721,0.8120393714,0.8007087934,0.8053893229,0.8096334092,0.8221181098,-0.0042604268,0.0063492064,,,221.7845,0.2885,222.073,"{""colsample_bytree"": 0.75, ""force_col_wise"": true, ""learning_rate"": 0.05, ""n_estimators"": 460, ""n_jobs"": -1, ""num_class"": 10, ""num_leaves"": 31, ""objective"": ""multiclass"", ""random_state"": 42, ""reg_lambda"": 1.0, ""subsample"": 0.85, ""verbose"": -1}","X does not have valid feature names, but LGBMClassifier was fitted with feature names",0.8938053097,0.8977777778,0.8666666667,0.8425925926,0.7058823529,0.768
AB_no_bof_balanced,ablation,no_bof,F1_color+F2_texture+F4_shape+F5_gist+F3_hog,2909,2891,balanced,0.8019770252,0.7961176801,0.8091353997,0.8091613811,0.796452145,0.8019770252,0.8080018319,0.7961176801,-0.0076727245,-0.0196512233,0.0,0.0,213.7773,0.2975,214.0748,"{""colsample_bytree"": 0.75, ""force_col_wise"": true, ""learning_rate"": 0.05, ""n_estimators"": 460, ""n_jobs"": -1, ""num_class"": 10, ""num_leaves"": 31, ""objective"": ""multiclass"", ""random_state"": 42, ""reg_lambda"": 1.0, ""subsample"": 0.85, ""verbose"": -1}","X does not have valid feature names, but LGBMClassifier was fitted with feature names",0.8495575221,0.8687782805,0.8476190476,0.8436018957,0.6911764706,0.746031746
AB_hog_color_texture_balanced,ablation,hog_color_texture,F3_hog+F1_color+F2_texture,2833,2815,balanced,0.801196805,0.8005701396,0.8069603045,0.8104736252,0.7941691624,0.801196805,0.8057788052,0.8005701396,-0.0084529447,-0.0151987638,0.0,-0.0,286.5561,0.2874,286.8435,"{""colsample_bytree"": 0.75, ""force_col_wise"": true, ""learning_rate"": 0.05, ""n_estimators"": 460, ""n_jobs"": -1, ""num_class"": 10, ""num_leaves"": 31, ""objective"": ""multiclass"", ""random_state"": 42, ""reg_lambda"": 1.0, ""subsample"": 0.85, ""verbose"": -1}","X does not have valid feature names, but LGBMClassifier was fitted with feature names",0.8672566372,0.8828828829,0.8285714286,0.8325358852,0.7058823529,0.768
AB_no_shape_no_bof_balanced,ablation,no_shape_no_bof,F3_hog+F1_color+F2_texture+F5_gist,2897,2879,balanced,0.7947198122,0.7963977922,0.8009787928,0.8026696317,0.78870551,0.7947198122,0.7995843757,0.7963977922,-0.0149299375,-0.0193711112,0.0,-0.0,238.3179,0.387,238.705,"{""colsample_bytree"": 0.75, ""force_col_wise"": true, ""learning_rate"": 0.05, ""n_estimators"": 460, ""n_jobs"": -1, ""num_class"": 10, ""num_leaves"": 31, ""objective"": ""multiclass"", ""random_state"": 42, ""reg_lambda"": 1.0, ""subsample"": 0.85, ""verbose"": -1}","X does not have valid feature names, but LGBMClassifier was fitted with feature names",0.8495575221,0.8571428571,0.819047619,0.8269230769,0.7205882353,0.7716535433
AB_lowdim_color_texture_gist_balanced,ablation,lowdim_color_texture_gist,F1_color+F2_texture+F5_gist,1133,1115,balanced,0.7844679925,0.8103740611,0.7868406743,0.7886981606,0.7814365141,0.7844679925,0.786204847,0.8103740611,-0.0251817572,-0.0053948423,-0.0,0.0,100.8411,0.2359,101.077,"{""colsample_bytree"": 0.75, ""force_col_wise"": true, ""learning_rate"": 0.05, ""n_estimators"": 460, ""n_jobs"": -1, ""num_class"": 10, ""num_leaves"": 31, ""objective"": ""multiclass"", ""random_state"": 42, ""reg_lambda"": 1.0, ""subsample"": 0.85, ""verbose"": -1}","X does not have valid feature names, but LGBMClassifier was fitted with feature names",0.8672566372,0.8596491228,0.8285714286,0.8169014085,0.7352941176,0.7751937984
