combo_id,feature_id,description,model,model_params,feature_dim,train_samples,validation_samples,status,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,recall_trash,recall_battery,recall_biological,minority_recall_mean,train_seconds,predict_seconds,warnings,error
C0,F0_pixels_gray,gray pixel baseline 1024d,LogisticRegression,"StandardScaler + LogisticRegression(C=1, solver=lbfgs, max_iter=1000)",1024,8581,1839,ok,0.3045133224578575,0.27393911775360474,0.2740162660266017,0.2733729081985205,0.3001203224033984,0.14705882352941177,0.4336283185840708,0.09523809523809523,0.22530841245052594,4.7094,0.0033,"lbfgs failed to converge after 1000 iteration(s) (status=1):
STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT

Increase the number of iterations to improve the convergence (max_iter=1000).
You might also want to scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html
Please also refer to the documentation for alternative solver options:
    https://scikit-learn.org/stable/modules/linear_model.html#logistic-regression",
C0,F0_pixels_gray,gray pixel baseline 1024d,KNN,"StandardScaler + KNN(k=5, weights=distance, euclidean)",1024,8581,1839,ok,0.4453507340946166,0.45506425089283986,0.4064276256448611,0.40487136430309334,0.4299222491296201,0.4264705882352941,0.4336283185840708,0.08571428571428572,0.3152710641778836,0.0337,0.1626,,
C0,F0_pixels_gray,gray pixel baseline 1024d,LinearSVM_SGD,"StandardScaler + SGDClassifier(loss=hinge, alpha=0.0001, max_iter=1000)",1024,8581,1839,ok,0.23436650353452965,0.2432577182064664,0.22123271989244925,0.2277488340253852,0.2405120566058776,0.10294117647058823,0.45132743362831856,0.09523809523809523,0.21650223511233402,9.2826,0.0041,Maximum number of iteration reached before convergence. Consider increasing max_iter to improve the fit.,
C0,F0_pixels_gray,gray pixel baseline 1024d,DecisionTree,"DecisionTree(default, random_state=42)",1024,8581,1839,ok,0.35345296356715605,0.3269614848625849,0.3272299755141959,0.32682544343466435,0.3548126597074589,0.25,0.415929203539823,0.12380952380952381,0.2632462424497823,3.3844,0.0012,,
C1,F1_color,color features 1039d,LogisticRegression,"StandardScaler + LogisticRegression(C=1, solver=lbfgs, max_iter=1000)",1039,8581,1839,ok,0.466557911908646,0.46062228875107436,0.46397530009297083,0.4617526387937526,0.4664647527489482,0.38235294117647056,0.6283185840707964,0.5523809523809524,0.5210174925427398,0.8731,0.0018,,
C1,F1_color,color features 1039d,KNN,"StandardScaler + KNN(k=5, weights=distance, euclidean)",1039,8581,1839,ok,0.48776508972267535,0.47985563372146667,0.4921547663556162,0.48159034588280064,0.488129343275644,0.5441176470588235,0.4778761061946903,0.6190476190476191,0.5470137907670443,0.0245,0.1249,,
C1,F1_color,color features 1039d,LinearSVM_SGD,"StandardScaler + SGDClassifier(loss=hinge, alpha=0.0001, max_iter=1000)",1039,8581,1839,ok,0.4317563893420337,0.4286120957503591,0.4111090096133091,0.4166090844194553,0.42960035236179284,0.25,0.504424778761062,0.42857142857142855,0.39433206911083013,10.1223,0.0021,Maximum number of iteration reached before convergence. Consider increasing max_iter to improve the fit.,
C1,F1_color,color features 1039d,DecisionTree,"DecisionTree(default, random_state=42)",1039,8581,1839,ok,0.4279499728113105,0.4197688914970138,0.41639869229930415,0.4175805482016609,0.4281934369305881,0.3382352941176471,0.5663716814159292,0.4095238095238095,0.4380435950191286,1.3904,0.0007,,
C2,F2_texture,texture features 30d,LogisticRegression,"StandardScaler + LogisticRegression(C=1, solver=lbfgs, max_iter=1000)",30,8581,1839,ok,0.5008156606851549,0.5088740456296665,0.49497943987089144,0.49561550295566026,0.4953546856874328,0.3088235294117647,0.6814159292035398,0.6761904761904762,0.5554766449352603,0.1889,0.0003,,
C2,F2_texture,texture features 30d,KNN,"StandardScaler + KNN(k=5, weights=distance, euclidean)",30,8581,1839,ok,0.5002718868950516,0.5055287820428276,0.4895502721011593,0.4941934805543344,0.4976268975016372,0.4117647058823529,0.5309734513274337,0.6095238095238096,0.5174206555778654,0.0016,0.0118,,
C2,F2_texture,texture features 30d,LinearSVM_SGD,"StandardScaler + SGDClassifier(loss=hinge, alpha=0.0001, max_iter=1000)",30,8581,1839,ok,0.4159869494290375,0.40054025869878596,0.3935207520815521,0.3794966034072652,0.3895687518626974,0.04411764705882353,0.5309734513274337,0.6190476190476191,0.3980462391446254,0.0838,0.0004,,
C2,F2_texture,texture features 30d,DecisionTree,"DecisionTree(default, random_state=42)",30,8581,1839,ok,0.38118542686242524,0.38305082823096215,0.389053342471549,0.385490918309248,0.3804153320643792,0.4264705882352941,0.5221238938053098,0.5047619047619047,0.4844521289341695,0.189,0.0004,,
C3,F3_hog,HOG features 1764d,LogisticRegression,"StandardScaler + LogisticRegression(C=1, solver=lbfgs, max_iter=1000)",1764,8581,1839,ok,0.47362697117998914,0.43502602871135904,0.4376288313933526,0.43601596613264687,0.473355053881434,0.3088235294117647,0.45132743362831856,0.2857142857142857,0.3486217495847897,3.5434,0.0057,,
C3,F3_hog,HOG features 1764d,KNN,"StandardScaler + KNN(k=5, weights=distance, euclidean)",1764,8581,1839,ok,0.55573681348559,0.5307068004286434,0.5179762689159454,0.516251424135531,0.5503172877020053,0.45588235294117646,0.6283185840707964,0.21904761904761905,0.43441618535319737,0.0416,0.2304,,
C3,F3_hog,HOG features 1764d,LinearSVM_SGD,"StandardScaler + SGDClassifier(loss=hinge, alpha=0.0001, max_iter=1000)",1764,8581,1839,ok,0.4594888526373029,0.4532047944979512,0.4054303509977939,0.41476971096976867,0.45669613826847466,0.11764705882352941,0.4778761061946903,0.3238095238095238,0.30644422960924783,25.1287,0.0045,Maximum number of iteration reached before convergence. Consider increasing max_iter to improve the fit.,
C3,F3_hog,HOG features 1764d,DecisionTree,"DecisionTree(default, random_state=42)",1764,8581,1839,ok,0.355084284937466,0.33369214229021793,0.3351410064332131,0.33420343755040915,0.3544223702230109,0.29411764705882354,0.4336283185840708,0.24761904761904763,0.325121671087314,9.0294,0.001,,
C4,F4_shape,shape features 12d,LogisticRegression,"StandardScaler + LogisticRegression(C=1, solver=lbfgs, max_iter=1000)",12,8581,1839,ok,0.25666122892876564,0.2163964554505727,0.21729545119795737,0.18504439519356577,0.20341024557142903,0.029411764705882353,0.2831858407079646,0.2,0.17086586847128235,0.0386,0.0003,,
C4,F4_shape,shape features 12d,KNN,"StandardScaler + KNN(k=5, weights=distance, euclidean)",12,8581,1839,ok,0.3039695486677542,0.30310748955816447,0.28924213625124995,0.29361104646402797,0.30117278270509745,0.3382352941176471,0.24778761061946902,0.21904761904761905,0.2683568412615784,0.0044,0.0246,,
C4,F4_shape,shape features 12d,LinearSVM_SGD,"StandardScaler + SGDClassifier(loss=hinge, alpha=0.0001, max_iter=1000)",12,8581,1839,ok,0.17781402936378465,0.1538052424180612,0.15546358415087838,0.14420638525986165,0.16690204178042423,0.0,0.168141592920354,0.047619047619047616,0.07192021351313387,0.0401,0.0004,,
C4,F4_shape,shape features 12d,DecisionTree,"DecisionTree(default, random_state=42)",12,8581,1839,ok,0.279499728113105,0.27218963394345075,0.2675115678319696,0.26940572931759643,0.2797128108200713,0.3235294117647059,0.26548672566371684,0.20952380952380953,0.26617998231741075,0.0745,0.0004,,
C5,F5_gist,GIST features 64d,LogisticRegression,"StandardScaler + LogisticRegression(C=1, solver=lbfgs, max_iter=1000)",64,8581,1839,ok,0.43665035345296355,0.41295447823868486,0.4003803771098659,0.4018267905667493,0.4265867787348454,0.17647058823529413,0.5486725663716814,0.29523809523809524,0.3401270832816903,0.0732,0.0004,,
C5,F5_gist,GIST features 64d,KNN,"StandardScaler + KNN(k=5, weights=distance, euclidean)",64,8581,1839,ok,0.519847743338771,0.517645259127143,0.5027995597704796,0.5036565701252925,0.515198464316026,0.5294117647058824,0.5752212389380531,0.3904761904761905,0.4983697313733753,0.0025,0.017,,
C5,F5_gist,GIST features 64d,LinearSVM_SGD,"StandardScaler + SGDClassifier(loss=hinge, alpha=0.0001, max_iter=1000)",64,8581,1839,ok,0.34910277324632955,0.2982521193706889,0.30001626239258233,0.283272586776559,0.32528644489193465,0.0,0.46017699115044247,0.02857142857142857,0.16291613990729034,0.1324,0.0006,,
C5,F5_gist,GIST features 64d,DecisionTree,"DecisionTree(default, random_state=42)",64,8581,1839,ok,0.3512778684067428,0.3339491035757506,0.32985510480911706,0.33098510383000673,0.35348399968277217,0.25,0.3893805309734513,0.24761904761904763,0.2956665261974996,0.3714,0.0004,,
C6,F6_bof,SIFT+ORB BoF features 256d,LogisticRegression,"StandardScaler + LogisticRegression(C=1, solver=lbfgs, max_iter=1000)",256,8581,1839,ok,0.4344752582925503,0.4309118343384589,0.4217495599455048,0.4235195516603505,0.4308560574007066,0.27941176470588236,0.5575221238938053,0.5047619047619047,0.44723193112053083,0.1376,0.0007,,
C6,F6_bof,SIFT+ORB BoF features 256d,KNN,"StandardScaler + KNN(k=5, weights=distance, euclidean)",256,8581,1839,ok,0.3800978792822186,0.3992034585577528,0.3829623767768809,0.374272145431293,0.3719723013367935,0.27941176470588236,0.5132743362831859,0.5142857142857142,0.4356572717582608,0.0068,0.0302,,
C6,F6_bof,SIFT+ORB BoF features 256d,LinearSVM_SGD,"StandardScaler + SGDClassifier(loss=hinge, alpha=0.0001, max_iter=1000)",256,8581,1839,ok,0.3404023926046765,0.33454758181229016,0.32951171965549675,0.3282855313746147,0.33925705371381415,0.2647058823529412,0.35398230088495575,0.4666666666666667,0.36178494996818794,0.864,0.0012,,
C6,F6_bof,SIFT+ORB BoF features 256d,DecisionTree,"DecisionTree(default, random_state=42)",256,8581,1839,ok,0.22729744426318652,0.21797227565013128,0.21938086888871283,0.21806401351544052,0.22799838987583806,0.19117647058823528,0.22123893805309736,0.19047619047619047,0.2009638663725077,0.9915,0.0004,,
