ensemble_id,ensemble_type,base_ids,num_base_models,num_meta_features,meta_model,meta_C,meta_weight_mode,inner_cv_macro_f1,inner_cv_minority_recall_mean,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,validation_minority_recall_mean,delta_macro_f1_vs_stage4_best,delta_minority_recall_vs_stage4_best,fit_seconds,predict_seconds,params,warnings,validation_recall_battery,validation_f1_battery,validation_recall_biological,validation_f1_biological,validation_recall_trash,validation_f1_trash
avg_small_proba,soft_average,lr_c11_balanced+knn_compact_gist_texture_shape,2,20,,,,,,0.6125,0.5993757052,0.6003201049,0.5971082458,0.6120054461,0.6274396135,-0.2160290303,-0.1883292899,0.0,0.0,"{""method"": ""unweighted mean of class probabilities""}",,0.72,0.7346938776,0.6956521739,0.64,0.4666666667,0.4666666667
stack_small_only,stacking,lr_c11_balanced+knn_compact_gist_texture_shape,2,20,LogisticRegression,0.1,balanced_class_weight,0.5400662021,0.6005946658,0.595,0.5733877522,0.5991038629,0.5785448428,0.5942899102,0.6929468599,-0.2345924333,-0.1228220435,0.0049,0.0002,"{""C"": 0.1, ""weight_mode"": ""balanced_class_weight""}",,0.76,0.7037037037,0.652173913,0.5769230769,0.6666666667,0.487804878
